lambda flux
5060.0 0.00000000000000
5060.3 0.00000000000000
5060.5 0.00000000000000
5060.8 0.00000000000000
5061.1 0.00000000000000
5061.4 0.00000000000000
5061.6 0.00000000000000
5061.9 0.00000000000000
5062.2 0.00000000000000
5062.4 0.00000000000000
5062.7 0.00000000000000
5063.0 0.00000000000000
5063.2 0.00000000000000
5063.5 0.00000000000000
5063.8 0.00000000000000
5064.1 0.00000000000000
5064.3 0.00000000000000
5064.6 0.00000000000000
5064.9 0.00000000000000
5065.1 0.00000000000000
5065.4 0.00000000000000
5065.7 0.00000000000000
5065.9 0.00000000000000
5066.2 0.00000000000000
5066.5 0.00000000000000
5066.8 0.00000000000000
5067.0 0.00000000000000
5067.3 0.00000000000000
5067.6 0.00000000000000
5067.8 0.00000000000000
5068.1 0.00000000000000
5068.4 0.00000000000000
5068.6 0.00000000000000
5068.9 0.00000000000000
5069.2 0.00000000000000
5069.4 0.00000000000000
5069.7 0.00000000000000
5070.0 0.00000000000000
5070.3 0.00000000000000
5070.5 0.00000000000000
5070.8 0.00000000000000
5071.1 0.00000000000000
5071.3 0.00000000000000
5071.6 0.00000000000000
5071.9 0.00000000000000
5072.1 0.00000000000000
5072.4 0.00000000000000
5072.7 0.00000000000000
5073.0 0.00000000000000
5073.2 0.00000000000000
5073.5 0.00000000000000
5073.8 0.00000000000000
5074.0 0.00000000000000
5074.3 0.00000000000000
5074.6 0.00000000000000
5074.9 0.00000000000000
5075.1 0.00000000000000
5075.4 0.00000000000000
5075.7 0.00000000000000
5075.9 0.00000000000000
5076.2 0.00000000000000
5076.5 0.00000000000000
5076.7 0.00000000000000
5077.0 0.00000000000000
5077.3 0.00000000000000
5077.6 0.00000000000000
5077.8 0.00000000000000
5078.1 0.00000000000000
5078.4 0.00000000000000
5078.6 0.00000000000000
5078.9 0.00000000000000
5079.2 0.00000000000000
5079.4 0.00000000000000
5079.7 0.00000000000000
5080.0 0.00000000000000
5080.2 0.00000000000000
5080.5 0.00000000000000
5080.8 0.00000000000000
5081.1 0.00000000000000
5081.3 0.00000000000000
5081.6 0.00000000000000
5081.9 0.00000000000000
5082.1 0.00000000000000
5082.4 0.00000000000000
5082.7 0.00000000000000
5082.9 0.00000000000000
5083.2 0.00000000000000
5083.5 0.00000000000000
5083.8 0.00000000000000
5084.0 0.00000000000000
5084.3 0.00000000000000
5084.6 0.00000000000000
5084.8 0.00000000000000
5085.1 0.00000000000000
5085.4 0.00000000000000
5085.6 0.00000000000000
5085.9 0.00000000000000
5086.2 0.00000000000000
5086.5 0.00000000000000
5086.7 0.00000000000000
5087.0 0.00000000000000
5087.3 0.00000000000000
5087.5 0.00000000000000
5087.8 0.00000000000000
5088.1 0.00000000000000
5088.4 0.00000000000000
5088.6 0.00000000000000
5088.9 0.00000000000000
5089.2 0.00000000000000
5089.4 0.00000000000000
5089.7 0.00000000000000
5090.0 0.00000000000000
5090.2 0.00000000000000
5090.5 0.00000000000000
5090.8 0.00000000000000
5091.1 0.00000000000000
5091.3 0.00000000000000
5091.6 0.00000000000000
5091.9 0.00000000000000
5092.1 0.00000000000000
5092.4 0.00000000000000
5092.7 0.00000000000000
5092.9 0.00000000000000
5093.2 0.00000000000000
5093.5 0.00000000000000
5093.8 0.00000000000000
5094.0 0.00000000000000
5094.3 0.00000000000000
5094.6 0.00000000000000
5094.8 0.00000000000000
5095.1 0.00000000000000
5095.4 0.00000000000000
5095.6 0.00000000000000
5095.9 0.00000000000000
5096.2 0.00000000000000
5096.4 0.00000000000000
5096.7 0.00000000000000
5097.0 0.00000000000000
5097.3 0.00000000000000
5097.5 0.00000000000000
5097.8 0.00000000000000
5098.1 0.00000000000000
5098.3 0.00000000000000
5098.6 0.00000000000000
5098.9 0.00000000000000
5099.1 0.00000000000000
5099.4 0.00000000000000
5099.7 0.00000000000000
5100.0 0.00000000000000
5100.2 0.00000000000000
5100.5 0.00000000000000
5100.8 0.00000000000000
5101.0 0.00000000000000
5101.3 0.00000000000000
5101.6 0.00000000000000
5101.9 0.00000000000000
5102.1 0.00000000000000
5102.4 0.00000000000000
5102.7 0.00000000000000
5102.9 0.00000000000000
5103.2 0.00000000000000
5103.5 0.00000000000000
5103.7 0.00000000000000
5104.0 0.00000000000000
5104.3 0.00000000000000
5104.6 0.00000000000000
5104.8 0.00000000000000
5105.1 0.00000000000000
5105.4 0.00000000000000
5105.6 0.00000000000000
5105.9 0.00000000000000
5106.2 0.00000000000000
5106.4 0.00000000000000
5106.7 0.00000000000000
5107.0 0.00000000000000
5107.2 0.00000000000000
5107.5 0.00000000000000
5107.8 0.00000000000000
5108.1 0.00000000000000
5108.3 0.00000000000000
5108.6 0.00000000000000
5108.9 0.00000000000000
5109.1 0.00000000000000
5109.4 0.00000000000000
5109.7 0.00000000000000
5109.9 0.00000000000000
5110.2 0.00000000000000
5110.5 0.00000000000000
5110.8 0.00000000000000
5111.0 0.00000000000000
5111.3 0.00000000000000
5111.6 0.00000000000000
5111.8 0.00000000000000
5112.1 0.00000000000000
5112.4 0.00000000000000
5112.6 0.00000000000000
5112.9 0.00000000000000
5113.2 0.00000000000000
5113.5 0.00000000000000
5113.7 0.00000000000000
5114.0 0.00000000000000
5114.3 0.00000000000000
5114.5 0.00000000000000
5114.8 0.00000000000000
5115.1 0.00000000000000
5115.4 0.00000000000000
5115.6 0.00000000000000
5115.9 0.00000000000000
5116.2 0.00000000000000
5116.4 0.00000000000000
5116.7 0.00000000000000
5117.0 0.00000000000000
5117.2 0.00000000000000
5117.5 0.00000000000000
5117.8 0.00000000000000
5118.1 0.00000000000000
5118.3 0.00000000000000
5118.6 0.00000000000000
5118.9 0.00000000000000
5119.1 0.00000000000000
5119.4 0.00000000000000
5119.7 0.00000000000000
5119.9 0.00000000000000
5120.2 0.00000000000000
5120.5 0.00000000000000
5120.8 0.00000000000000
5121.0 0.00000000000000
5121.3 0.00000000000000
5121.6 0.00000000000000
5121.8 0.00000000000000
5122.1 0.00000000000000
5122.4 0.00000000000000
5122.6 0.00000000000000
5122.9 0.00000000000000
5123.2 0.00000000000000
5123.4 0.00000000000000
5123.7 0.00000000000000
5124.0 0.00000000000000
5124.3 0.00000000000000
5124.5 0.00000000000000
5124.8 0.00000000000000
5125.1 0.00000000000000
5125.3 0.00000000000000
5125.6 0.00000000000000
5125.9 0.00000000000000
5126.1 0.00000000000000
5126.4 0.00000000000000
5126.7 0.00000000000000
5127.0 0.00000000000000
5127.2 0.00000000000000
5127.5 0.00000000000000
5127.8 0.00000000000000
5128.0 0.00000000000000
5128.3 0.00000000000000
5128.6 0.00000000000000
5128.9 0.00000000000000
5129.1 0.00000000000000
5129.4 0.00000000000000
5129.7 0.00000000000000
5129.9 0.00000000000000
5130.2 0.00000000000000
5130.5 0.00000000000000
5130.7 0.00000000000000
5131.0 0.00000000000000
5131.3 0.00000000000000
5131.6 0.00000000000000
5131.8 0.00000000000000
5132.1 0.00000000000000
5132.4 0.00000000000000
5132.6 0.00000000000000
5132.9 0.00000000000000
5133.2 0.00000000000000
5133.4 0.00000000000000
5133.7 0.00000000000000
5134.0 0.00000000000000
5134.2 0.00000000000000
5134.5 0.00000000000000
5134.8 1.32694809388898
5135.1 2.08612082355444
5135.3 1.01659636134710
5135.6 1.88125423188239
5135.9 1.46423814146230
5136.1 1.06164113567381
5136.4 0.84838721998814
5136.7 1.37184530300782
5136.9 1.18916371236268
5137.2 2.19148408483577
5137.5 1.79444894582650
5137.8 1.14284476812692
5138.0 1.03999748622899
5138.3 1.40393345759800
5138.6 1.27879613630691
5138.8 0.75605198258132
5139.1 1.08300883200426
5139.4 1.18392565647813
5139.6 1.51186073480074
5139.9 0.96411842111411
5140.2 1.31175044997353
5140.5 0.85987356225574
5140.7 1.25867703933795
5141.0 1.62222740782329
5141.3 0.81356100498951
5141.5 0.86334529398438
5141.8 0.99842856524862
5142.1 0.77170931443012
5142.4 0.68221618490559
5142.6 1.30430510170248
5142.9 0.76843698761564
5143.2 0.93459398373782
5143.4 1.20479707998436
5143.7 0.80060926731108
5144.0 0.68819839965548
5144.2 0.61653818666532
5144.5 0.90868629332983
5144.8 0.84930212161172
5145.1 0.54968781303273
5145.3 0.74102951632561
5145.6 0.82302697065010
5145.9 0.58004803809926
5146.1 0.86367444604117
5146.4 0.60421273356607
5146.7 0.61214741642194
5146.9 0.69401567896909
5147.2 0.74484770431200
5147.5 0.67560584510686
5147.8 0.54472373183814
5148.0 0.55603579779678
5148.3 0.53535549356316
5148.6 0.55352002237707
5148.8 0.68426092505440
5149.1 0.71910571851403
5149.4 0.67539790146091
5149.6 0.72465424183287
5149.9 0.54210667939068
5150.2 0.37189517191216
5150.4 0.43311719865192
5150.7 0.37708403639580
5151.0 0.62301423412137
5151.3 0.51742017174070
5151.5 0.47516550192748
5151.8 0.48520689213303
5152.1 0.69114561421090
5152.3 0.61728420706653
5152.6 0.66845976570916
5152.9 0.60091846581376
5153.1 0.42986021498933
5153.4 0.45617166324267
5153.7 0.37240626382636
5154.0 0.50702805056347
5154.2 0.52148152882327
5154.5 0.39697136855052
5154.8 0.50775858914575
5155.0 0.57460096931617
5155.3 0.25326251456897
5155.6 0.33103829482555
5155.9 0.59168236405696
5156.1 0.37626601173034
5156.4 0.46986596948137
5156.7 0.41977285502033
5156.9 0.24320186102005
5157.2 0.50676961795721
5157.5 0.42516368656200
5157.7 0.52373029031094
5158.0 0.60259902053163
5158.3 0.45420823509166
5158.6 0.37060527585569
5158.8 0.60767658775690
5159.1 0.74583484363942
5159.4 0.47759904800660
5159.6 0.39972641556787
5159.9 0.42305767800057
5160.2 0.39257095328589
5160.4 0.37513010768183
5160.7 0.42370256020684
5161.0 0.60097922861008
5161.2 0.40353105560257
5161.5 0.18419946483592
5161.8 0.27245826589013
5162.1 0.46602519024933
5162.3 0.56227475534731
5162.6 0.40494032658222
5162.9 0.06674560504946
5163.1 0.15553950162576
5163.4 0.53995339276644
5163.7 0.50606604253867
5163.9 0.40595093698866
5164.2 0.30918937916786
5164.5 0.22043789842854
5164.8 0.43227837472901
5165.0 0.38345509326547
5165.3 0.53096363916673
5165.6 0.55992546915306
5165.8 0.32455639316805
5166.1 0.29318368914274
5166.4 0.36984341538615
5166.6 0.39966643177122
5166.9 0.43876305810433
5167.2 0.31293692334713
5167.5 0.27865665383277
5167.7 0.38809713527608
5168.0 0.57363304674898
5168.3 0.62761475488615
5168.5 0.32150894588122
5168.8 0.56737510925742
5169.1 0.45072201750129
5169.4 0.26511627341130
5169.6 0.65995112558618
5169.9 0.52163350110401
5170.2 0.16457687661289
5170.4 0.30441057926505
5170.7 0.32547048805034
5171.0 0.30718416044791
5171.2 0.32017507358277
5171.5 0.41188606565389
5171.8 0.53512999844677
5172.1 0.52686505123442
5172.3 0.44249094372215
5172.6 0.43407964458833
5172.9 0.48945625687660
5173.1 0.58025379767461
5173.4 0.51454021001809
5173.7 0.36385891060169
5173.9 0.46007497032916
5174.2 0.48053438382614
5174.5 0.41873566491296
5174.8 0.37330939975528
5175.0 0.50545568723683
5175.3 0.62426441034936
5175.6 0.48858199884452
5175.8 0.45998754817324
5176.1 0.44768790121786
5176.4 0.35741640201929
5176.6 0.44716406953630
5176.9 0.47842370363237
5177.2 0.47932979792892
5177.4 0.48441121903110
5177.7 0.40564423795687
5178.0 0.36255972624759
5178.3 0.42869835068131
5178.5 0.37712390668397
5178.8 0.28001155806632
